;Misurati;Rate Crescita;Denominatore 1;Previsione 1;Denominatore 2;Previsione 2;Denominatore 3;Previsione 3;Denominatore 4;Previsione 4;Denominatore 5;Previsione 5;Denominatore 6;Previsione 6;Denominatore 7;Previsione 7;Denominatore 8;Previsione 8;Denominatore 9;Previsione 9
27;59138;0,0810;1,4730;67889,3619;1,3782;58048,1431;1,2359;40454,7240;1,1483;43542,7352;1,2333;48650,0664;1,2973;77084,5580;1,4256;63132,3932;1,4730;67889,3619;3,8841;51492,3896
28;63927;0,0716;1,3673;73135,1817;1,2937;61838,4832;1,1832;42256,7136;1,1132;44915,2753;1,1799;50852,4427;1,2269;81503,9150;1,3305;67643,1386;1,3673;73135,1817;3,5003;57138,3082
29;69176;0,0646;1,2853;77804,1938;1,2281;65141,8781;1,1423;43770,8984;1,0864;46022,7201;1,1387;52691,6616;1,1732;85234,2366;1,2567;71617,0951;1,2853;77804,1938;3,1676;63140,0795
30;74386;0,0781;1,2216;81862,9837;1,1771;67961,3923;1,1105;45023,8554;1,0660;46905,5826;1,1069;54203,2386;1,1322;88320,0347;1,1993;75040,8896;1,2216;81862,9837;2,8791;69465,7335
31;80539;0,0710;1,1721;85319,6130;1,1376;70325,3306;1,0858;46047,5432;1,0504;47602,6787;1,0825;55429,2971;1,1010;90830,3301;1,1548;77934,4379;1,1721;85319,6130;2,6291;76072,8630
32;86498;0,0550;1,1336;88212,3226;1,1068;72277,8227;1,0667;46875,2544;1,0384;48148,9335;1,0636;56413,1951;1,0771;92844,8136;1,1202;80340,3334;1,1336;88212,3226;2,4123;82909,2721
33;92472;0,0544;1,1038;90597,8489;1,0830;73870,6166;1,0518;47538,8933;1,0293;48574,4460;1,0490;57196,0114;1,0588;94443,8076;1,0934;82313,8027;1,1038;90597,8489;2,2243;89914,2988
34;97689;0,0223;1,0806;92541,4248;1,0644;75156,8912;1,0402;48067,3983;1,0224;48904,3698;1,0378;57814,5975;1,0449;95702,0106;1,0725;83914,6312;1,0806;92541,4248;2,0614;97020,7728
35;101739;0,0279;1,0626;94109,3551;1,0500;76187,1686;1,0312;48486,0251;1,0171;49159,2592;1,0291;58300,7720;1,0343;96685,2927;1,0563;85201,4863;1,0626;94109,3551;1,9202;104157,4930
36;105792;0,0378;1,0486;95364,1890;1,0389;77007,0026;1,0243;48816,2051;1,0131;49355,6319;1,0225;58681,2569;1,0262;97449,6170;1,0437;86228,4447;1,0486;95364,1890;1,7977;111252,0401
